index,k__Bacteria;__;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__OD1;c__;o__;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__,k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales];f__[Cerasicoccaceae],k__Bacteria;p__OD1;__;__;__,Unassigned;__;__;__;__,k__Bacteria;p__;c__;o__;f__,Status
SRR35933495,40707.0,13216.0,25077.0,1687.0,0.0,0.0,2408.0,19.0,39.0,0.0,0.0,0.0,0.0,38.0,0.0,5.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2868.0,29.0,10227.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,17.0,16.0,0.0,0.0,801.0,0.0,6.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,347.0,0.0,288.0,Healthy_Control
SRR35933496,5853.0,3285.0,9891.0,134.0,0.0,0.0,1570.0,0.0,90.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0,182.0,41.0,0.0,0.0,11.0,846.0,1501.0,0.0,33.0,354.0,85.0,0.0,223.0,0.0,0.0,23.0,170.0,40.0,0.0,0.0,0.0,3835.0,0.0,340.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,182.0,0.0,100.0,Breast_Cancer
SRR35933497,8227.0,3500.0,15160.0,250.0,0.0,1140.0,3887.0,161.0,114.0,305.0,0.0,0.0,263.0,0.0,0.0,27.0,0.0,1.0,36.0,833.0,577.0,0.0,0.0,351.0,427.0,9116.0,0.0,14.0,75.0,49.0,0.0,11.0,0.0,20.0,3.0,0.0,46.0,486.0,0.0,0.0,1277.0,0.0,57.0,0.0,0.0,0.0,80.0,16.0,0.0,651.0,0.0,404.0,0.0,99.0,Healthy_Control
SRR35933498,5379.0,10725.0,26369.0,501.0,0.0,0.0,1922.0,0.0,16.0,12.0,0.0,0.0,11.0,0.0,0.0,258.0,0.0,0.0,102.0,23.0,11.0,0.0,0.0,0.0,137.0,14051.0,12.0,6.0,17.0,7.0,0.0,26.0,0.0,0.0,3636.0,23.0,5.0,7.0,6.0,0.0,805.0,0.0,133.0,0.0,0.0,0.0,1279.0,0.0,0.0,0.0,0.0,3293.0,0.0,164.0,Breast_Cancer
SRR35933499,10749.0,4023.0,25388.0,132.0,0.0,4.0,3665.0,46.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,380.0,5282.0,5.0,1013.0,0.0,0.0,0.0,4.0,13566.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6834.0,0.0,100.0,0.0,0.0,0.0,94.0,0.0,0.0,92.0,0.0,0.0,0.0,230.0,Healthy_Control
SRR35933500,11745.0,1381.0,10318.0,5338.0,0.0,0.0,1905.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,3492.0,337.0,0.0,0.0,0.0,0.0,35.0,173.0,8559.0,53.0,0.0,89.0,6.0,0.0,6.0,0.0,10.0,0.0,0.0,48.0,0.0,0.0,0.0,2304.0,0.0,114.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,181.0,0.0,384.0,Breast_Cancer
SRR35933501,2147.0,3691.0,21890.0,252.0,0.0,0.0,1242.0,7.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8688.0,0.0,0.0,0.0,1988.0,40.0,1836.0,0.0,0.0,0.0,200.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,342.0,0.0,6.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,62.0,0.0,25.0,Healthy_Control
SRR35933502,6481.0,2596.0,15784.0,14.0,0.0,0.0,1236.0,244.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,505.0,0.0,0.0,171.0,0.0,0.0,8.0,80.0,7150.0,1817.0,0.0,0.0,0.0,0.0,0.0,164.0,32.0,0.0,443.0,56.0,0.0,0.0,0.0,2175.0,0.0,6.0,0.0,0.0,0.0,1089.0,0.0,0.0,938.0,0.0,55.0,0.0,28.0,Breast_Cancer
SRR35933503,49144.0,8533.0,16207.0,0.0,0.0,0.0,3121.0,17.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1808.0,0.0,3994.0,0.0,0.0,26.0,1695.0,137.0,0.0,377.0,0.0,0.0,72.0,247.0,112.0,0.0,0.0,0.0,1637.0,10.0,145.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,43.0,0.0,15.0,Healthy_Control
SRR35933504,10453.0,6188.0,17190.0,603.0,0.0,0.0,6840.0,4.0,25.0,17.0,0.0,0.0,69.0,0.0,0.0,919.0,0.0,0.0,217.0,8.0,1178.0,0.0,141.0,82.0,576.0,7895.0,13.0,0.0,98.0,9.0,0.0,4.0,0.0,0.0,211.0,22.0,23.0,0.0,0.0,0.0,332.0,0.0,320.0,0.0,0.0,0.0,198.0,0.0,0.0,511.0,0.0,475.0,0.0,256.0,Breast_Cancer
SRR35933505,14261.0,7326.0,21979.0,4249.0,0.0,0.0,5437.0,137.0,52.0,17.0,0.0,10.0,68.0,0.0,0.0,1212.0,0.0,0.0,18.0,0.0,238.0,0.0,0.0,0.0,35.0,14587.0,58.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,437.0,0.0,0.0,26.0,0.0,0.0,1191.0,6.0,118.0,5.0,0.0,0.0,49.0,0.0,0.0,509.0,0.0,149.0,0.0,376.0,Healthy_Control
SRR35933506,11005.0,3016.0,19935.0,941.0,0.0,0.0,6746.0,132.0,169.0,20.0,0.0,0.0,4.0,11.0,0.0,154.0,0.0,0.0,2.0,0.0,251.0,0.0,0.0,0.0,162.0,17380.0,0.0,0.0,7.0,38.0,0.0,14.0,0.0,0.0,367.0,0.0,1011.0,8.0,0.0,0.0,1177.0,0.0,33.0,6.0,0.0,0.0,338.0,0.0,0.0,0.0,7.0,299.0,0.0,229.0,Breast_Cancer
SRR35933507,33415.0,8940.0,25847.0,934.0,0.0,0.0,2628.0,58.0,95.0,11.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,17.0,14.0,20.0,51.0,0.0,0.0,0.0,604.0,19148.0,0.0,12.0,211.0,52.0,0.0,0.0,0.0,0.0,46.0,27.0,0.0,4.0,0.0,0.0,1777.0,3.0,29.0,0.0,0.0,0.0,486.0,0.0,0.0,6.0,0.0,104.0,0.0,95.0,Healthy_Control
SRR35933508,5387.0,5072.0,19496.0,417.0,0.0,0.0,2771.0,12.0,15.0,68.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,972.0,41.0,9869.0,0.0,0.0,12.0,44.0,0.0,32.0,0.0,0.0,93.0,216.0,0.0,0.0,0.0,0.0,4808.0,0.0,121.0,0.0,0.0,0.0,1630.0,0.0,0.0,0.0,0.0,54.0,0.0,662.0,Breast_Cancer
SRR35933509,19562.0,2515.0,7931.0,19.0,11741.0,90.0,2825.0,199.0,49.0,171.0,0.0,20.0,35.0,0.0,0.0,1177.0,0.0,66.0,0.0,99.0,48.0,0.0,0.0,76.0,0.0,5008.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,151.0,10.0,0.0,0.0,0.0,0.0,1645.0,7.0,763.0,0.0,0.0,0.0,105.0,0.0,0.0,57.0,0.0,77.0,0.0,47.0,Healthy_Control
SRR35933510,11406.0,3155.0,10641.0,111.0,0.0,0.0,4509.0,11.0,0.0,0.0,0.0,0.0,128.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,7558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,0.0,933.0,0.0,6.0,0.0,21.0,0.0,75.0,0.0,0.0,0.0,0.0,63.0,0.0,63.0,Breast_Cancer
SRR35933511,7004.0,10043.0,24581.0,25.0,0.0,0.0,1600.0,0.0,11.0,35.0,0.0,0.0,35.0,0.0,0.0,94.0,0.0,0.0,0.0,16.0,22.0,0.0,0.0,569.0,0.0,16481.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,113.0,7.0,10.0,5.0,0.0,3090.0,0.0,107.0,0.0,14.0,0.0,456.0,0.0,0.0,0.0,0.0,8.0,0.0,260.0,Healthy_Control
SRR35933512,43336.0,10031.0,17910.0,27.0,0.0,0.0,2639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1172.0,54.0,6597.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,33.0,22.0,5.0,0.0,0.0,0.0,2067.0,0.0,7.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,Breast_Cancer
SRR35933513,5044.0,6427.0,25854.0,22.0,0.0,0.0,4586.0,17.0,17.0,357.0,0.0,0.0,268.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,14607.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,88.0,324.0,0.0,25.0,0.0,0.0,2582.0,0.0,72.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,171.0,0.0,1496.0,Healthy_Control
SRR35933514,15475.0,4634.0,13480.0,443.0,0.0,0.0,7505.0,84.0,0.0,523.0,0.0,53.0,136.0,24.0,0.0,107.0,0.0,12.0,0.0,0.0,3376.0,0.0,0.0,22.0,146.0,5742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,894.0,0.0,0.0,184.0,0.0,555.0,0.0,1043.0,21.0,1737.0,0.0,0.0,0.0,0.0,658.0,0.0,107.0,0.0,114.0,Breast_Cancer
SRR35933515,35930.0,5986.0,6501.0,0.0,0.0,0.0,827.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,0.0,0.0,0.0,0.0,70.0,0.0,11.0,0.0,0.0,34.0,9.0,0.0,0.0,0.0,0.0,98.0,0.0,76.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,Healthy_Control
SRR35933516,54540.0,2815.0,16024.0,0.0,0.0,0.0,875.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,248.0,12813.0,0.0,0.0,14.0,4.0,13.0,15.0,0.0,0.0,0.0,751.0,4.0,2.0,0.0,0.0,770.0,0.0,34.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,156.0,0.0,70.0,Breast_Cancer
SRR35933517,28122.0,3388.0,12281.0,12.0,0.0,0.0,3818.0,256.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1627.0,42.0,118.0,0.0,126.0,27.0,249.0,532.0,104.0,0.0,230.0,50.0,11.0,0.0,4379.0,12.0,5.0,6.0,7.0,0.0,0.0,0.0,762.0,8.0,13.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,42.0,22.0,9.0,Healthy_Control
SRR35933518,15146.0,9721.0,20336.0,9.0,0.0,0.0,4995.0,197.0,48.0,17.0,0.0,0.0,37.0,2.0,9.0,8.0,14.0,313.0,0.0,15.0,103.0,0.0,0.0,1245.0,20.0,8935.0,0.0,18.0,0.0,0.0,0.0,24.0,0.0,0.0,275.0,7.0,117.0,30.0,0.0,0.0,3376.0,16.0,10.0,0.0,0.0,0.0,289.0,0.0,0.0,35.0,18.0,505.0,0.0,240.0,Breast_Cancer
SRR35933519,18602.0,2247.0,10764.0,535.0,0.0,0.0,173.0,66.0,51.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2258.0,0.0,0.0,0.0,33.0,981.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,100.0,1557.0,99.0,48.0,0.0,0.0,16109.0,0.0,51.0,12.0,0.0,0.0,711.0,0.0,0.0,3198.0,0.0,395.0,0.0,31.0,Healthy_Control
SRR35933520,13132.0,4407.0,12651.0,564.0,0.0,0.0,7040.0,51.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,34.0,1213.0,13.0,2078.0,0.0,1046.0,19.0,7594.0,13.0,0.0,41.0,930.0,164.0,0.0,396.0,0.0,0.0,0.0,0.0,31.0,24.0,0.0,0.0,924.0,9.0,15.0,0.0,0.0,0.0,1960.0,0.0,0.0,31.0,0.0,4102.0,0.0,488.0,Breast_Cancer
SRR35933521,7984.0,12801.0,28160.0,2577.0,0.0,0.0,2845.0,124.0,213.0,0.0,0.0,0.0,132.0,0.0,12.0,30.0,0.0,342.0,718.0,0.0,135.0,0.0,0.0,0.0,483.0,9136.0,882.0,49.0,61.0,26.0,0.0,22.0,0.0,0.0,0.0,32.0,13.0,0.0,0.0,0.0,889.0,12.0,9.0,0.0,0.0,0.0,842.0,0.0,0.0,246.0,0.0,227.0,0.0,654.0,Healthy_Control
SRR35933522,5570.0,13885.0,28718.0,733.0,0.0,0.0,4558.0,48.0,76.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,25.0,2384.0,13480.0,0.0,6.0,133.0,53.0,0.0,0.0,0.0,16.0,87.0,29.0,10.0,0.0,0.0,0.0,2105.0,68.0,17.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,1748.0,0.0,387.0,Breast_Cancer
